0.50 0.350554 0.0129337
0.55 0.396077 0.00509366
0.60 0.408826 0.00755626
0.65 0.425046 0.00604453
0.70 0.430049 0.00556732
0.75 0.43744 0.00468707
0.80 0.437187 0.00486204
0.85 0.44123 0.00335094
0.90 0.434063 0.00311717
0.95 0.424289 0.00370746
1.00 0.417884 0.00219425
1.05 0.407055 0.00200736
1.10 0.397226 0.00166315
1.15 0.384413 0.00165327
1.20 0.372668 0.00166245
1.25 0.356818 0.00137791
1.30 0.342457 0.00157249
1.35 0.329182 0.00129092
1.40 0.316452 0.00112367
1.45 0.305069 0.00105802
1.50 0.294579 0.000974334
1.55 0.282629 0.00107107
1.60 0.271525 0.00103346
1.65 0.260981 0.00135383
1.70 0.250213 0.00109833
1.75 0.239926 0.00112131
1.80 0.230305 0.00118852
1.85 0.222146 0.00106156
1.90 0.213453 0.000990994
1.95 0.205201 0.0009486
2.00 0.197837 0.000769779
